X,Y,temperatura
-6317381.103,16038305.76,-33.1
-6261721.357,16038305.76,-33.1
-6206061.612,16038305.76,-33.1
-6150401.866,16038305.76,-33
-6094742.121,16038305.76,-33
-6039082.376,16038305.76,-33.1
-5983422.63,16038305.76,-33.3
-5927762.885,16038305.76,-33.5
-5872103.139,16038305.76,-33.6
-5816443.394,16038305.76,-33.7
-5760783.649,16038305.76,-33.7
-5705123.903,16038305.76,-33.8
-5649464.158,16038305.76,-34
-5593804.412,16038305.76,-34.1
-5538144.667,16038305.76,-34.3
-5482484.922,16038305.76,-34.5
-5426825.176,16038305.76,-34.4
-5371165.431,16038305.76,-34.5
-5315505.685,16038305.76,-34.5
-5259845.94,16038305.76,-34.5
-5204186.195,16038305.76,-34.5
-5148526.449,16038305.76,-34.5
-5092866.704,16038305.76,-34.5
-5037206.958,16038305.76,-34.5
-4981547.213,16038305.76,-34.6
-4925887.468,16038305.76,-34.6
-4870227.722,16038305.76,-34.6
-4814567.977,16038305.76,-34.6
-4758908.231,16038305.76,-34.5
-4703248.486,16038305.76,-34.6
-4647588.741,16038305.76,-34.6
-4591928.995,16038305.76,-34.8
-4536269.25,16038305.76,-34.9
-4480609.504,16038305.76,-34.9
-4424949.759,16038305.76,-34.8
-4369290.014,16038305.76,-34.8
-4313630.268,16038305.76,-34.6
-4257970.523,16038305.76,-34.4
-4202310.777,16038305.76,-34
-4146651.032,16038305.76,-33.3
-4090991.287,16038305.76,-32.3
-4035331.541,16038305.76,-31.5
-3979671.796,16038305.76,-31.1
-3924012.05,16038305.76,-30.8
-3868352.305,16038305.76,-30.6
-3812692.56,16038305.76,-30.3
-3757032.814,16038305.76,-30
-3701373.069,16038305.76,-29.7
-3645713.323,16038305.76,-29.5
-3590053.578,16038305.76,-29.2
-3534393.833,16038305.76,-28.9
-3478734.087,16038305.76,-28.4
-3423074.342,16038305.76,-27.9
-3367414.596,16038305.76,-27.5
-3311754.851,16038305.76,-27.2
-3256095.106,16038305.76,-26.9
-3200435.36,16038305.76,-27.2
